db_name,api_team_id,api_name,league_id,score,reason,decision
Deportivo La Coruña,544,Deportivo La Coruna,141,94.7,token_set_ratio=95,Y
Defensa y Justicia,442,Defensa Y Justicia,11,94.4,token_set_ratio=94,Y
Atlético San Luis,2314,Atletico San Luis,262,94.1,token_set_ratio=94,Y
TPS Turku,1168,Turku PS,244,94.1,token_set_ratio=94,Y
Volos FC,2110,Volos NFC,197,94.1,token_set_ratio=94,Y
Atlético Tucuman,455,Atletico Tucuman,128,93.8,token_set_ratio=94,Y
Al-Hazem,2945,Al-Hazm,307,93.3,token_set_ratio=93,Y
América Mineiro,125,America Mineiro,72,93.3,token_set_ratio=93,Y
América de Cali,1138,America de Cali,11,93.3,token_set_ratio=93,Y
Atlético Madrid,530,Atletico Madrid,2,93.3,token_set_ratio=93,Y
Cracovia Kraków,350,Cracovia Krakow,106,93.3,token_set_ratio=93,Y
Go Ahead Eagles,410,GO Ahead Eagles,3,93.3,token_set_ratio=93,Y
Pogoń Szczecin,348,Pogon Szczecin,106,92.9,token_set_ratio=93,Y
Sporting Gijón,731,Sporting Gijon,141,92.9,token_set_ratio=93,Y
Cerro Porteño,1176,Cerro Porteno,13,92.3,token_set_ratio=92,Y
Górnik Zabrze,340,Gornik Zabrze,106,92.3,token_set_ratio=92,Y
HamKam,2159,Ham-Kam,103,92.3,token_set_ratio=92,Y
Lechia Gdańsk,343,Lechia Gdansk,106,92.3,token_set_ratio=92,Y
Östersunds FK,376,Ostersunds FK,114,92.3,token_set_ratio=92,Y
Hammarby IF,363,Hammarby FF,113,90.9,token_set_ratio=91,Y
IFK Värnamo,2163,IFK Varnamo,113,90.9,token_set_ratio=91,Y
Lech Poznań,347,Lech Poznan,2,90.9,token_set_ratio=91,Y
Mjällby AIF,2240,Mjallby AIF,113,90.9,token_set_ratio=91,Y
Operario PR,1223,Operario-PR,72,90.9,token_set_ratio=91,Y
SonderjyskE,396,Sonderjyske,119,90.9,token_set_ratio=91,Y
Al-Okhdood,2977,Al Okhdood,307,90.0,token_set_ratio=90,Y
Andorra CF,8157,FC Andorra,141,90.0,token_set_ratio=90,Y
Bodø/Glimt,327,Bodo/Glimt,2,90.0,token_set_ratio=90,Y
D.C. United,1615,DC United,253,90.0,token_set_ratio=90,Y
Fenerbahce,611,Fenerbahçe,2,90.0,token_set_ratio=90,Y
Örgryte IS,2166,Orgryte IS,113,90.0,token_set_ratio=90,Y
Rot-Weiss Essen,1621,Rot-Weiß Essen,80,89.7,token_set_ratio=90,Y
Al-Riyadh,10511,Al Riyadh,307,88.9,token_set_ratio=89,Y
FC Juárez,2298,FC Juarez,262,88.9,token_set_ratio=89,Y
FK Rostov,779,FC Rostov,235,88.9,token_set_ratio=89,Y
Famalicão,242,Famalicao,94,88.9,token_set_ratio=89,Y
Vålerenga,326,Valerenga,103,88.9,token_set_ratio=89,Y
Örebro SK,365,Orebro SK,114,88.9,token_set_ratio=89,Y
Östers IF,2174,Osters IF,113,88.9,token_set_ratio=89,Y
Chapecoense,132,Chapecoense-sc,72,88.0,token_set_ratio=88,Y
Corinthians-SP,131,Corinthians,11,88.0,token_set_ratio=88,Y
FC St Gallen,1011,FC ST. Gallen,207,88.0,token_set_ratio=88,Y
Al-Najma,2992,Al Najma,307,87.5,token_set_ratio=88,Y
FK Sochi,2012,FC Sochi,235,87.5,token_set_ratio=88,Y
IK Brage,2175,IK brage,114,87.5,token_set_ratio=88,Y
Südtirol,1578,Sudtirol,136,87.5,token_set_ratio=88,Y
Ñublense,2337,Nublense,13,87.5,token_set_ratio=88,Y
Accrington Stanley,1360,Accrington ST,42,87.0,token_set_ratio=87,Y
CA Paranaense,134,Atletico Paranaense,72,87.0,token_set_ratio=87,Y
CR Vasco da Gama,133,Vasco DA Gama,11,87.0,token_set_ratio=87,Y
Dundee United,1386,Dundee Utd,848,87.0,token_set_ratio=87,Y
Fluminense-RJ,124,Fluminense,11,87.0,token_set_ratio=87,Y
Sint Truiden,735,St. Truiden,144,87.0,token_set_ratio=87,Y
TSG Hoffenheim,9364,Hoffenheim II,80,87.0,token_set_ratio=87,N
Vasco da Gama,133,Vasco DA Gama,11,87.0,token_set_ratio=87,Y
Instituto de Córdoba,478,Instituto Cordoba,128,86.5,token_set_ratio=86,Y
Almería,723,Almeria,141,85.7,token_set_ratio=86,Y
Córdoba,713,Cordoba,141,85.7,token_set_ratio=86,Y
Gazişehir Gaziantep,3573,Gaziantep FK,203,85.7,token_set_ratio=86,Y
Goztepe,994,Göztepe,203,85.7,token_set_ratio=86,Y
Leganés,537,Leganes,141,85.7,token_set_ratio=86,Y
Palmeiras-SP,121,Palmeiras,13,85.7,token_set_ratio=86,Y
Sarpsborg FK,333,Sarpsborg 08 FF,103,85.7,token_set_ratio=86,N
Zagłębie Lubin,345,Zaglebie Lubin,106,85.7,token_set_ratio=86,Y
